T06,"Ratio of girls to boys in primary, lower secondary and upper secondary education",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",1995,Ratio of girls to boys in primary education,0.91,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2005,Ratio of girls to boys in primary education,0.95,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2010,Ratio of girls to boys in primary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Ratio of girls to boys in primary education,1.00,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2020,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Ratio of girls to boys in primary education,0.98,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Ratio of girls to boys in primary education,0.98,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",1995,Ratio of girls to boys in lower secondary education,0.90,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2005,Ratio of girls to boys in lower secondary education,0.95,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2010,Ratio of girls to boys in lower secondary education,0.97,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Ratio of girls to boys in lower secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2020,Ratio of girls to boys in lower secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2021,Ratio of girls to boys in lower secondary education,0.99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Ratio of girls to boys in lower secondary education,0.99,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",1995,Ratio of girls to boys in upper secondary education,0.83,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
